"especie";"altura_cm";"peso_kg";"tamanho_cranio_cm";"genero";"dia_semana_coleta"
"bonobo";72.8;43.2;26.7;"feminino";3
"chimpanzé";86.1;50.8;31.1;"masculino";2
"bonobo";68.6;37.6;27.3;"feminino";6
"chimpanzé";75.3;44.1;28.9;"feminino";5
"bonobo";75.3;40.7;28.3;"masculino";7
"bonobo";77.3;35.4;28.3;"masculino";5
"bonobo";71.5;43.1;30.1;"masculino";4
"bonobo";75.5;39.8;30.9;"feminino";1
"chimpanzé";82.3;46.2;30.5;"feminino";3
"bonobo";67.2;41.3;23.9;"feminino";3
"chimpanzé";79.4;48.3;28.6;"feminino";7
"bonobo";69.1;39.3;29.5;"feminino";6
"chimpanzé";83.9;52;30.6;"masculino";3
"bonobo";73.4;39.9;28.5;"feminino";1
"bonobo";76.4;40.4;30.1;"masculino";3
"bonobo";71.6;37.9;27.4;"masculino";1
"chimpanzé";81.8;51.7;30.1;"feminino";3
"chimpanzé";89.4;51.5;33.9;"masculino";7
"chimpanzé";78.2;49.5;29.7;"feminino";4
"chimpanzé";78.8;45.3;32.9;"feminino";3
"bonobo";67.9;33.7;28;"feminino";1
"chimpanzé";90.6;55.7;30.5;"masculino";5
"chimpanzé";86.1;50.3;31.8;"masculino";3
"chimpanzé";81.9;49.7;28.4;"feminino";6
"bonobo";71.8;39.5;29.2;"feminino";4
"chimpanzé";83.2;51.2;30.5;"masculino";3
"bonobo";72.4;33.5;29.7;"masculino";3
"chimpanzé";75.8;49.5;29.5;"feminino";3
"bonobo";76.7;37;30.3;"masculino";7
"bonobo";67;43.3;30.3;"masculino";4
"chimpanzé";75.5;49.9;30.4;"feminino";4
"chimpanzé";82.7;42.8;32.4;"feminino";6
"chimpanzé";85.5;52.9;29.7;"masculino";3
"chimpanzé";91;50.4;30.5;"masculino";4
"bonobo";72;34.9;26.3;"feminino";2
"bonobo";74.4;37.8;27.4;"feminino";6
"bonobo";70.5;37.2;27.4;"feminino";3
"chimpanzé";91.6;51;32.5;"masculino";4
"bonobo";75.2;35.5;27.3;"feminino";2
"chimpanzé";75.5;41;30.1;"feminino";5
"bonobo";71.1;38.3;25.1;"feminino";1
"chimpanzé";82.6;45.3;29.3;"feminino";5
"chimpanzé";95.6;54.7;34;"masculino";7
"chimpanzé";74.9;47.7;28;"feminino";1
"bonobo";80.8;35.3;28.9;"masculino";2
"chimpanzé";76.8;54.5;31.1;"masculino";2
"chimpanzé";81.2;49.1;28.7;"feminino";5
"bonobo";72.8;35.1;28.7;"feminino";1
"chimpanzé";91.7;56.5;31;"masculino";4
"bonobo";76.2;40.3;29;"masculino";1
"chimpanzé";76.6;51;33.1;"feminino";7
"bonobo";69.8;39;25.5;"feminino";5
"bonobo";72.4;42;27.3;"masculino";2
"bonobo";73.3;35.3;28.8;"masculino";7
"chimpanzé";92.2;55.2;30.8;"masculino";3
"chimpanzé";75.6;46.1;32.7;"feminino";3
"chimpanzé";91.7;46.6;33.9;"masculino";4
"bonobo";73.1;37.1;26.7;"feminino";4
"bonobo";64.5;46.4;27.9;"masculino";2
"chimpanzé";91.8;57;29.9;"masculino";2
"bonobo";69;37;30.1;"masculino";5
"chimpanzé";88.1;47.2;31.9;"feminino";1
"bonobo";75.5;41.9;28.6;"masculino";7
"bonobo";69;42;32.4;"masculino";1
"bonobo";77;35.5;28.9;"feminino";3
"bonobo";77.8;44.6;29.2;"masculino";5
"chimpanzé";88.3;49.4;33.1;"masculino";4
"bonobo";77.8;37.8;28.4;"feminino";7
"chimpanzé";87.7;44.8;31.5;"feminino";6
"bonobo";64.5;38.1;27.4;"feminino";1
"bonobo";75;37.5;29.8;"masculino";3
"chimpanzé";86.9;52;30.5;"masculino";7
"bonobo";63.4;45.4;27.8;"feminino";6
"chimpanzé";84;55.5;32;"masculino";7
"bonobo";78.2;35.5;29.3;"masculino";6
"chimpanzé";82.1;51.1;28.6;"feminino";4
"chimpanzé";76;46.6;28.8;"feminino";5
"chimpanzé";90.4;55.4;30.2;"masculino";2
"chimpanzé";73.5;41.3;29.4;"feminino";2
"bonobo";75.9;37.6;26;"feminino";2
"chimpanzé";81.1;51.1;30.8;"feminino";4
"bonobo";67.5;32.5;30.1;"feminino";1
"bonobo";74.7;36.3;26;"feminino";3
"bonobo";72.4;46.1;27.4;"masculino";3
"bonobo";72.6;39.5;28.4;"masculino";4
"chimpanzé";88.4;48.7;30.1;"masculino";5
"chimpanzé";94.7;55;28.9;"masculino";7
"bonobo";69.7;43.1;29.8;"feminino";2
"chimpanzé";86.9;50.3;34.3;"masculino";5
"bonobo";65.8;37.5;28;"feminino";2
"bonobo";72.8;42.1;30.5;"masculino";1
"chimpanzé";86.5;46.7;31.3;"masculino";7
"bonobo";71.2;36.3;28.7;"feminino";6
"chimpanzé";77.3;49.5;28.9;"feminino";6
"bonobo";71.3;40.6;30.4;"masculino";3
"chimpanzé";94.8;53.2;31;"masculino";1
"chimpanzé";86.5;43.8;28.3;"feminino";4
"chimpanzé";93.2;47.1;32;"masculino";7
"bonobo";69.7;38;27.8;"masculino";4
"bonobo";67.2;39.4;29.8;"masculino";7
"chimpanzé";87;53.5;33.7;"masculino";2
"chimpanzé";89.8;51.4;31.9;"masculino";2
"bonobo";72.6;38;29.6;"feminino";5
"chimpanzé";72.3;41.4;31.2;"feminino";1
"chimpanzé";90.4;50.7;30;"masculino";5
"chimpanzé";87.7;55.3;30.3;"masculino";3
"chimpanzé";75.8;46.3;32.1;"feminino";1
"chimpanzé";87.9;45.9;31.5;"feminino";4
"bonobo";70.6;41.8;31;"masculino";6
"chimpanzé";79.6;48.7;27.9;"feminino";4
"chimpanzé";90.2;47.6;31.9;"masculino";7
"bonobo";68.9;36.4;29.6;"feminino";4
"chimpanzé";89.8;46.2;30.8;"masculino";2
"bonobo";75;37.1;30.9;"feminino";7
"bonobo";71.3;36.4;26;"masculino";2
"chimpanzé";86;52;28.1;"feminino";1
"chimpanzé";85.7;43.4;31.5;"masculino";3
"chimpanzé";82.7;51.5;30.6;"feminino";1
"bonobo";76.3;42.7;29.6;"masculino";2
"bonobo";71.3;41.1;27.1;"feminino";5
"bonobo";75.9;40.3;31.3;"masculino";5
"bonobo";79.8;38.9;28.2;"masculino";5
"chimpanzé";79.7;52.6;29.6;"feminino";1
"chimpanzé";77.7;43.8;28.7;"feminino";3
"bonobo";81.7;40.4;27.8;"masculino";5
"chimpanzé";86.1;50.4;34.2;"masculino";7
"bonobo";76.8;42.2;28.4;"masculino";1
"bonobo";73.1;39.3;28;"feminino";7
"chimpanzé";90.3;58.4;34.2;"masculino";5
"chimpanzé";86.7;51.8;35.4;"masculino";1
"chimpanzé";82.6;45.1;30.2;"feminino";3
"bonobo";72.8;47.1;28.4;"masculino";1
"bonobo";67.6;36;28.9;"feminino";2
"bonobo";74;37.6;25.1;"masculino";5
"chimpanzé";81.8;49.4;31.3;"masculino";2
"bonobo";72.1;32.2;29.6;"feminino";5
"bonobo";71.4;37.6;26.1;"feminino";6
"bonobo";74.4;33.9;31.6;"masculino";2
"chimpanzé";98.3;54.7;32.5;"masculino";7
"chimpanzé";88.1;56.6;31.4;"masculino";2
"bonobo";69.3;36.8;25.4;"feminino";6
"chimpanzé";77.3;48.4;26.5;"feminino";6
"bonobo";73.6;36.7;26.6;"feminino";6
"chimpanzé";83.5;47.7;30.6;"feminino";5
"bonobo";65.1;36.7;28.8;"masculino";5
"bonobo";73.5;36.4;29.3;"feminino";1
"bonobo";73.8;43.6;31.1;"masculino";3
"bonobo";77;38.6;28.4;"masculino";7
"bonobo";71;43.6;28.1;"masculino";6
"chimpanzé";83.1;50.3;31.2;"feminino";2
"chimpanzé";76.1;48.8;32;"feminino";6
"bonobo";76.8;37.9;30;"feminino";6
"chimpanzé";86.1;57.7;30.4;"masculino";6
"bonobo";71.2;34.9;27;"masculino";5
"bonobo";71.5;38.2;28.7;"feminino";4
"bonobo";80.1;38.6;28.5;"masculino";1
"chimpanzé";89.9;56.5;30.4;"masculino";7
"bonobo";73.1;37;26.3;"feminino";1
"bonobo";73.2;31;27.7;"feminino";4
"chimpanzé";87.3;45.1;28.5;"feminino";3
"chimpanzé";75.4;43.3;30.1;"feminino";2
"bonobo";79.3;40.3;29.8;"masculino";1
"chimpanzé";90.6;47.3;32.3;"masculino";5
"chimpanzé";89;55.2;32.2;"masculino";4
"bonobo";74.5;37.2;28.9;"masculino";1
"chimpanzé";89.4;49.5;32.1;"masculino";6
"chimpanzé";84;52.8;33.4;"masculino";6
"chimpanzé";88.5;47.5;32;"masculino";7
"chimpanzé";87.5;54.2;31.8;"masculino";4
"chimpanzé";83.1;47.3;28.5;"feminino";5
"bonobo";68.1;41.7;26.5;"feminino";7
"bonobo";76.5;38;25.3;"feminino";4
"bonobo";67.3;45;25.3;"masculino";4
"bonobo";78.7;40.8;26.4;"masculino";3
"bonobo";77.2;34.7;29.2;"masculino";1
"chimpanzé";88.9;50.4;32.1;"masculino";1
"bonobo";74.3;31.2;27.3;"feminino";2
"chimpanzé";79.1;44.5;31.3;"feminino";3
"chimpanzé";83.8;46.3;29.4;"feminino";4
"bonobo";72.9;37.6;26.6;"feminino";2
"bonobo";72.7;45;29.3;"masculino";3
"bonobo";74.9;38.8;31.3;"feminino";1
"chimpanzé";77.7;48;28.3;"feminino";7
"chimpanzé";85.7;54;29.8;"masculino";3
"bonobo";71;38.7;28.4;"feminino";2
"bonobo";74.1;36.2;26.4;"feminino";2
"bonobo";75.8;42.7;28.4;"masculino";6
"bonobo";68.2;45.8;27.9;"masculino";2
"bonobo";69.8;36.9;26.5;"feminino";5
"bonobo";72.1;43.2;30.5;"feminino";7
"bonobo";62.8;39.5;25.4;"feminino";2
"chimpanzé";86.9;53.9;31.1;"masculino";4
"chimpanzé";77.6;48.9;31.2;"feminino";4
"bonobo";75.4;36;26.6;"feminino";5
"chimpanzé";89.6;50.6;31.3;"masculino";2
"bonobo";68.1;37.2;28.6;"feminino";7
"chimpanzé";78.9;43.2;32.2;"feminino";5
"chimpanzé";80.2;41.7;31.2;"feminino";2
"bonobo";73.9;35.2;26.6;"feminino";6
"chimpanzé";87;47;29.1;"feminino";6
"chimpanzé";84.6;49.9;34.5;"masculino";2
"chimpanzé";86.7;50.9;31;"masculino";3
"chimpanzé";81.3;49.3;31.5;"feminino";7
"bonobo";73.3;41;26.6;"feminino";5
"chimpanzé";77.9;55.5;33.2;"masculino";6
"bonobo";75.9;37.9;27.5;"masculino";3
"chimpanzé";78.9;41.3;30.9;"feminino";2
"bonobo";67.5;39.8;26.2;"feminino";1
"chimpanzé";86.5;49.9;31.9;"masculino";3
"bonobo";72.7;36.2;30.5;"masculino";4
"bonobo";74.7;40.1;27.2;"masculino";2
"bonobo";69.7;38.3;29.6;"feminino";2
"chimpanzé";91.7;48.9;33.2;"masculino";5
"bonobo";66.2;38.6;27.6;"feminino";2
"bonobo";73;38.9;29.5;"masculino";2
"chimpanzé";82.2;47.4;29.9;"feminino";2
"bonobo";80.5;40;27.2;"masculino";7
"bonobo";68.8;35.3;27.6;"masculino";5
"chimpanzé";83.3;46;30.6;"feminino";6
"chimpanzé";89.2;51.7;29.5;"feminino";2
"bonobo";76.7;40.3;28.3;"masculino";3
"bonobo";65.2;33;28;"feminino";1
"bonobo";76.2;35.4;26;"feminino";1
"chimpanzé";83.2;41.7;31.7;"feminino";7
"bonobo";65.5;37.8;26.5;"feminino";2
"bonobo";64.8;40.6;28.1;"feminino";2
"chimpanzé";83.9;46.1;28.3;"feminino";1
"bonobo";76.5;39.7;26.8;"masculino";2
"bonobo";64.6;40.3;26.4;"feminino";7
"bonobo";77.4;44.2;29.7;"masculino";1
"chimpanzé";80.4;43.6;34.1;"feminino";1
"bonobo";72.5;35.3;25.1;"feminino";6
"bonobo";69.5;44.8;27.4;"feminino";4
"bonobo";69.7;39.3;28.7;"masculino";6
"chimpanzé";89.1;53.9;34;"masculino";7
"chimpanzé";81.8;42.3;33.4;"feminino";4
"chimpanzé";85.3;49.7;30.5;"masculino";7
"chimpanzé";87.2;57.5;32;"masculino";6
"bonobo";82.3;40.8;26.9;"masculino";6
"bonobo";75.2;40.2;29.9;"feminino";2
"bonobo";76.8;47;25.6;"masculino";3
"bonobo";72.7;40.3;29.1;"masculino";1
"chimpanzé";93.8;50.2;30.5;"masculino";1
"chimpanzé";88.6;46.6;29.1;"masculino";5
"bonobo";72.3;38.6;30.8;"feminino";5
"chimpanzé";84.8;45.2;32.7;"feminino";5
"bonobo";73.4;39;30.6;"feminino";3
"chimpanzé";78.3;50.1;30.6;"feminino";3
"chimpanzé";82.1;47.3;27.1;"feminino";2
"chimpanzé";93.4;49.2;32.5;"masculino";1
"chimpanzé";87.2;57;30.1;"masculino";4
"bonobo";74.2;43.1;29.4;"masculino";1
"chimpanzé";81.1;45.3;30.1;"feminino";6
"bonobo";76;45.3;26.6;"masculino";2
"bonobo";69.9;42.6;29.3;"feminino";3
"chimpanzé";75.9;47.5;31.3;"feminino";4
"chimpanzé";85.6;55.6;31.1;"masculino";1
"bonobo";77;39.9;26.6;"masculino";6
"bonobo";74.5;40;26.3;"feminino";5
"chimpanzé";79.2;40.8;30.9;"feminino";5
"chimpanzé";87.5;50.4;29.8;"masculino";1
"chimpanzé";87;50.3;30.1;"feminino";6
"chimpanzé";73.5;43.3;24.7;"feminino";2
"chimpanzé";82.2;52.2;29.2;"feminino";5
"chimpanzé";84.7;48.8;30.4;"masculino";7
"chimpanzé";67.5;44.4;29.4;"feminino";3
"bonobo";75.3;35.6;28.6;"feminino";1
"chimpanzé";89.1;53.9;34;"masculino";2
"bonobo";73;33.3;30.2;"feminino";3
"bonobo";67;37.7;26.1;"feminino";3
"chimpanzé";93.9;53.2;31.7;"masculino";6
"chimpanzé";89.2;51.4;32.5;"masculino";5
"chimpanzé";93.2;54.9;33.5;"masculino";2
"chimpanzé";72.9;44.4;30.4;"feminino";1
"bonobo";77.8;40.2;28.8;"feminino";1
"chimpanzé";89.4;46.8;28.2;"feminino";7
"bonobo";67.7;42.1;29.2;"masculino";4
"chimpanzé";84.9;45.9;31.3;"feminino";4
"bonobo";74;38.8;27.2;"feminino";4
"chimpanzé";77.3;45.1;31.4;"feminino";2
"chimpanzé";88.9;62.5;33;"masculino";1
"bonobo";66.5;40.4;27.7;"masculino";6
"chimpanzé";80;48.7;30.1;"feminino";6
"bonobo";75.5;44.8;26.7;"feminino";2
"bonobo";73.8;40.6;31.4;"masculino";2
"bonobo";75.9;43.2;28.3;"feminino";1
"bonobo";77.7;39.4;28.7;"feminino";3
"bonobo";73.6;41.5;28.4;"masculino";7
"chimpanzé";77.6;48;33.5;"feminino";2
"bonobo";69.6;37.4;29.4;"feminino";2
"chimpanzé";81.6;45.2;30.9;"feminino";7
"bonobo";75.4;41.8;30.4;"masculino";2
"chimpanzé";94.4;55.9;29.1;"masculino";4
"chimpanzé";90.4;51.3;33.8;"masculino";3
"chimpanzé";76.2;48;32.1;"feminino";5
"chimpanzé";82;43.5;30.7;"feminino";7
"chimpanzé";84.1;50.1;33;"masculino";1
"chimpanzé";87;43.3;28.6;"feminino";7
"bonobo";74.3;37.3;27.4;"masculino";2
"chimpanzé";80;48.6;30.6;"masculino";6
"chimpanzé";82.8;42.1;31.1;"feminino";7
"chimpanzé";85.1;54.1;32.8;"masculino";2
"chimpanzé";76.7;47.3;28.1;"feminino";1
"bonobo";72.4;37;26;"feminino";1
"chimpanzé";88;47.6;32.8;"masculino";1
"chimpanzé";79.4;47.4;30.4;"feminino";6
"chimpanzé";73.6;49.1;30.2;"feminino";3
"bonobo";77.5;39.1;28.1;"masculino";4
"chimpanzé";87;51.7;31.3;"feminino";1
"chimpanzé";78.2;50.4;29.2;"feminino";6
"bonobo";73.2;33.1;26.9;"feminino";7
"bonobo";77.7;34.6;28.7;"masculino";4
"chimpanzé";90.6;52;31.8;"masculino";6
"bonobo";73.6;35.9;27.7;"feminino";6
"bonobo";73.4;39.1;29.5;"masculino";4
"chimpanzé";86.2;43;30.8;"feminino";7
"bonobo";76.8;39.1;27.3;"feminino";2
"bonobo";68.7;46.4;28.7;"masculino";7
"chimpanzé";89;48.2;30.3;"feminino";6
"chimpanzé";84.3;48.7;30.2;"masculino";5
"bonobo";79.6;42.1;32;"masculino";2
"chimpanzé";89.2;51.5;34.7;"masculino";7
"bonobo";74.8;41.8;29.5;"masculino";3
"chimpanzé";81.1;52.5;31.4;"feminino";1
"chimpanzé";85.2;48.1;30.7;"feminino";7
"bonobo";75.3;37.8;26.2;"masculino";5
"chimpanzé";79.9;44.9;32.1;"feminino";3
"bonobo";77.8;38.7;26.9;"masculino";3
"chimpanzé";90.1;51.5;31.9;"masculino";1
"bonobo";74.2;41.2;28.6;"masculino";3
"bonobo";76.3;38;27.3;"masculino";5
"chimpanzé";87.7;52;30.5;"masculino";1
"chimpanzé";84;46.2;28.8;"feminino";3
"bonobo";76.4;41.6;28.9;"masculino";4
"bonobo";69.6;36.7;27.3;"feminino";5
"chimpanzé";95;51.4;31.7;"masculino";2
"chimpanzé";84.4;52.7;32;"masculino";6
"chimpanzé";93.6;53;31.8;"masculino";2
"chimpanzé";85.9;45.3;30;"feminino";6
"chimpanzé";85.6;50.8;32.2;"masculino";1
"bonobo";77.3;41.5;28.5;"masculino";2
"bonobo";72.4;41.5;27;"masculino";2
"chimpanzé";88.7;46.1;31.5;"feminino";6
"bonobo";75.3;39.9;31.1;"masculino";7
"chimpanzé";74.2;42.8;29.4;"feminino";3
"chimpanzé";83;47;30.9;"feminino";6
"bonobo";70.9;45.1;27.6;"masculino";6
"bonobo";71.1;40.4;27.6;"feminino";3
"bonobo";69.9;39.4;26.4;"masculino";1
"chimpanzé";89.8;48.5;33.5;"masculino";1
"chimpanzé";81.7;47.1;29.9;"feminino";3
"bonobo";75.5;42.8;29.2;"masculino";6
"bonobo";72;38.4;28.6;"feminino";5
"bonobo";72.9;36.8;28.7;"masculino";3
"chimpanzé";93.5;56.7;31.4;"masculino";5
"bonobo";73.3;36.2;29.2;"masculino";1
"bonobo";68.4;33.1;26.4;"feminino";2
"bonobo";71.9;33.7;27.8;"feminino";7
"bonobo";80.6;42.7;29.5;"masculino";7
"chimpanzé";76.8;40.9;27.9;"feminino";5
"chimpanzé";77.6;44.6;30.3;"feminino";7
"bonobo";75.1;38.6;30.3;"masculino";1
"bonobo";70.3;40.2;30.3;"masculino";5
"bonobo";77;38.1;29.1;"masculino";4
"bonobo";69.3;39.9;29.3;"masculino";2
"chimpanzé";85.4;54.1;32;"masculino";6
"bonobo";68;43.3;29.2;"masculino";4
"chimpanzé";84;50.8;30.2;"masculino";3
"bonobo";76.6;43.7;28.1;"feminino";4
"chimpanzé";70.9;44.1;33.5;"feminino";1
"chimpanzé";83;51.5;32.6;"masculino";2
"chimpanzé";86.6;48.8;32.8;"masculino";5
"bonobo";70.4;37.3;28.1;"feminino";2
"bonobo";71.3;33.8;28;"feminino";3
"bonobo";76.7;36.7;27.4;"feminino";7
"bonobo";79.9;41;31.4;"masculino";3
"bonobo";65.8;39.8;26.5;"feminino";1
"chimpanzé";81.2;45.9;31.2;"feminino";3
"bonobo";70.6;40.5;29.6;"feminino";5
"chimpanzé";75.5;55.4;29;"feminino";2
"bonobo";70.9;38.8;28.9;"feminino";7
"chimpanzé";87.3;52.7;32.2;"masculino";5
"chimpanzé";90.4;52.2;33.3;"masculino";7
"chimpanzé";91.7;48.1;30.3;"masculino";6
"bonobo";74.3;42;29.6;"masculino";7
"chimpanzé";82.5;49.8;34.2;"masculino";6
"chimpanzé";94.5;56.8;29.6;"masculino";6
"bonobo";75.8;39.6;31.5;"masculino";3
"chimpanzé";91.3;46.1;32.4;"masculino";1
"bonobo";69.1;39.2;27.2;"feminino";7
"bonobo";75.1;33.5;26.9;"masculino";1
"chimpanzé";77.9;42.9;30.2;"feminino";2
"bonobo";79;38.2;28.9;"masculino";7
"bonobo";73.6;36.8;26.3;"feminino";1
"bonobo";79.4;42.1;29;"feminino";2
"bonobo";72.4;33.1;27.9;"masculino";1
"bonobo";69.7;42.6;30.2;"masculino";4
"bonobo";72.6;37.5;29.3;"masculino";2
"chimpanzé";89;52.9;33.5;"masculino";4
"chimpanzé";89.3;54.9;30.9;"masculino";7
"bonobo";78.1;33.1;27.8;"feminino";7
"bonobo";70.9;36.5;29.2;"feminino";1
"bonobo";77.9;38.6;29.7;"masculino";7
"bonobo";71.9;43.8;28.7;"masculino";2
"chimpanzé";90.6;50.8;28.8;"masculino";4
"bonobo";72.9;33.6;29.5;"feminino";3
"bonobo";72.8;33.6;30.1;"feminino";1
"bonobo";66.8;40.1;26.3;"masculino";6
"chimpanzé";79.3;43;30;"feminino";2
"chimpanzé";85.2;49.3;28.9;"feminino";6
"chimpanzé";76.9;48.8;28.9;"feminino";2
"chimpanzé";76.5;37.3;29.8;"feminino";4
"bonobo";65.3;38.1;27.9;"masculino";4
"bonobo";72.2;36.4;30.5;"feminino";7
"chimpanzé";89.5;49.8;32.9;"masculino";4
"chimpanzé";80.2;42.7;26.6;"feminino";1
"chimpanzé";86.8;46.3;28.9;"feminino";7
"chimpanzé";86.9;49;29.5;"feminino";7
"bonobo";75.5;39.6;30.9;"masculino";1
"chimpanzé";83.8;50.8;32.2;"masculino";2
"chimpanzé";87;56.4;31.6;"masculino";1
"bonobo";75.1;45.3;26;"masculino";7
"bonobo";75.7;37.8;29.8;"masculino";3
"bonobo";77.9;36.9;26.6;"masculino";7
"bonobo";72.4;39.1;29.2;"feminino";4
"bonobo";72.7;38.2;26.8;"feminino";3
"bonobo";71.7;34.8;26.8;"feminino";2
"bonobo";73.2;34.8;31.2;"masculino";2
"chimpanzé";95.1;53.1;31.9;"masculino";4
"bonobo";73.4;40.7;29.3;"masculino";2
"bonobo";69.4;36.1;29.6;"masculino";3
"chimpanzé";86.2;52.1;33;"masculino";7
"chimpanzé";80.2;51.6;30.3;"feminino";2
"chimpanzé";89.9;52.7;31.7;"masculino";2
"bonobo";70.3;35.2;26.3;"feminino";6
"chimpanzé";81;50.4;30.6;"feminino";1
"bonobo";71.9;38.7;26.9;"masculino";2
"bonobo";71.1;37.7;28.8;"feminino";5
"bonobo";72.9;38.4;29.5;"feminino";4
"bonobo";71.5;37.8;29.7;"feminino";3
"chimpanzé";88.4;50.7;31.7;"masculino";7
"bonobo";79.3;38.5;27.4;"feminino";2
"bonobo";72.5;40.4;27.8;"masculino";4
"bonobo";77.9;38.5;28.6;"feminino";1
"chimpanzé";80.5;45.3;28.6;"feminino";3
"chimpanzé";80.5;56.4;31.6;"masculino";7
"chimpanzé";80.4;46.5;32.4;"feminino";6
"chimpanzé";76;46.1;30.7;"feminino";6
"chimpanzé";89.1;55;32.2;"masculino";4
"bonobo";79;40.5;28.3;"masculino";5
"bonobo";74.5;33.7;25.7;"feminino";2
"bonobo";71.4;34.5;27.5;"feminino";1
"chimpanzé";92.9;57.4;32.7;"masculino";4
"bonobo";66.2;41.7;28.7;"feminino";2
"chimpanzé";81.7;40.8;30.5;"feminino";3
"chimpanzé";89.9;47.6;36.6;"masculino";4
"bonobo";68;35.6;26.2;"feminino";4
"chimpanzé";87.8;51.1;32.5;"masculino";3
"chimpanzé";82;47;27.9;"feminino";4
"bonobo";74.2;39.4;26.2;"masculino";2
"chimpanzé";88.9;48.5;32.4;"masculino";7
"chimpanzé";92.8;48.8;33.3;"masculino";1
"bonobo";68.8;41.2;27.8;"feminino";2
"chimpanzé";80.6;49.1;30.8;"feminino";2
"bonobo";71.2;36.8;29.9;"feminino";1
"chimpanzé";88.4;58.3;33.7;"masculino";2
"bonobo";69.5;34.3;28.8;"feminino";6
"bonobo";72.2;38.4;26.3;"masculino";6
"chimpanzé";88.9;56.4;29;"masculino";2
"bonobo";70.6;37.6;29.5;"feminino";6
"chimpanzé";77.6;45.9;28.3;"feminino";6
"bonobo";73.7;34.1;28;"masculino";3
"chimpanzé";88.9;52.6;32.1;"masculino";1
"chimpanzé";85.1;50.1;32.1;"masculino";6
"bonobo";79.4;32.5;25.8;"feminino";3
"chimpanzé";89.1;56.2;31.8;"masculino";4
"bonobo";73.6;38.3;28.8;"feminino";6
"bonobo";88.3;38.9;33.1;"masculino";3
"bonobo";72;37.7;27;"feminino";3
"bonobo";77.2;41.1;24.6;"feminino";2
"bonobo";66;35.5;26.5;"feminino";6
"chimpanzé";83.8;39.7;27.7;"feminino";1
"chimpanzé";88.2;54.2;30.8;"masculino";2
"bonobo";76.8;39;28.1;"feminino";2
"bonobo";76.2;40.9;29;"masculino";5
"chimpanzé";84.6;43.7;31.1;"feminino";4
"chimpanzé";89.6;57.6;32.6;"masculino";5
"bonobo";65.6;38;28.2;"masculino";7
"chimpanzé";83.7;43.9;29.4;"feminino";4
"bonobo";71.1;38.4;26.8;"feminino";7
"chimpanzé";83.2;52.6;33.8;"masculino";5
"chimpanzé";83.7;52.8;31.5;"masculino";4
"chimpanzé";88.8;57.8;32.4;"masculino";5
"chimpanzé";85.4;52.8;31.6;"masculino";6
"bonobo";69.3;35.6;28.2;"masculino";1
"chimpanzé";85;52.4;31.1;"masculino";6
"chimpanzé";86.2;51.4;33.5;"masculino";4
"bonobo";70.4;32.9;27.8;"feminino";6
"bonobo";81.3;41.6;30.2;"masculino";4
"chimpanzé";73.6;46.9;31;"feminino";5
"bonobo";80.1;36.4;31;"masculino";5
"chimpanzé";82;45.1;32;"masculino";4
"bonobo";74.3;40.1;29.7;"masculino";3
"bonobo";77.8;39.5;26.9;"masculino";2
"bonobo";76.7;35.5;30;"feminino";7
"bonobo";72.5;40.1;29.3;"masculino";1
"bonobo";69.5;37.2;27.5;"feminino";5
"bonobo";73.2;40.4;26;"feminino";3
"chimpanzé";85.7;51;27.3;"feminino";7
"bonobo";68.9;37.7;26.6;"feminino";6
"chimpanzé";86.4;52.8;32.9;"masculino";5
"bonobo";69.6;43.6;29.7;"masculino";3
"chimpanzé";89.2;50.7;32.6;"masculino";7
"bonobo";73;39.4;28.4;"masculino";6
"chimpanzé";85.7;48.7;30.5;"masculino";7
"bonobo";78.4;35.8;29.6;"feminino";5
"chimpanzé";89.5;51;30.1;"masculino";2
"bonobo";74.4;37.8;28.9;"masculino";1
"chimpanzé";76.7;44.1;33.6;"feminino";6
"bonobo";76.4;40.6;26.2;"feminino";1
"bonobo";70.1;43.6;29.5;"feminino";5
"bonobo";81;39;26;"feminino";5
"chimpanzé";77.8;52.8;27.7;"feminino";2
"bonobo";70.1;36.8;26.6;"masculino";1
"bonobo";74.3;34.3;29.8;"feminino";2
"chimpanzé";87.7;52.7;33.8;"masculino";5
"chimpanzé";77.6;47.6;29.2;"feminino";6
"chimpanzé";84.6;41.2;29.4;"feminino";2
"bonobo";66.5;42.6;28.6;"masculino";2
"chimpanzé";89;55.4;30.8;"masculino";4
"bonobo";77;41.2;28.4;"feminino";6
"chimpanzé";84.4;56.9;33.1;"masculino";7
"chimpanzé";79.9;48.2;30;"masculino";4
"bonobo";76.4;36.8;28.4;"feminino";2
"bonobo";76.1;37.6;27.6;"feminino";7
"chimpanzé";97.6;54.7;29.9;"masculino";6
"chimpanzé";78.9;46;28.3;"feminino";5
"bonobo";68.6;47.2;29.8;"masculino";1
"chimpanzé";83.8;51.2;32.1;"feminino";7
"bonobo";68.4;37.9;29.2;"feminino";4
"bonobo";72.8;36.2;27.2;"feminino";1
"bonobo";78.8;40.8;26.7;"feminino";6
"chimpanzé";77.2;43.3;31.5;"feminino";5
"chimpanzé";88.4;47.4;30.9;"masculino";1
"chimpanzé";79.4;51.4;29.7;"feminino";7
"bonobo";72.7;39.6;27.3;"masculino";2
"bonobo";74.1;37.6;28.9;"feminino";6
"chimpanzé";80;46;29.8;"feminino";5
"chimpanzé";74.4;43.2;28.8;"feminino";6
